keys,zh,en,ja
Character/39/name,梅蒂欣·梅兰可莉,Medicine Melancholy,メディスン・メランコリー
Character/39/nicknames,毒人偶,,
Character/3a/name,梦子,Yumeko,夢子
Character/3a/nicknames,魔界女仆,,
Character/3b/name,森近霖之助,Morichika Rinnosuke,森近　霖之助
Character/3b/nicknames,"乡长,香霖",,
Character/3c/name,橙,Chen,橙
Character/3c/nicknames,"黑猫,橙喵",,
Character/3d/name,比那名居天子,Hinanawi Tenshi,比那名居　天子
Character/3d/nicknames,"统领娘,M子,天女",,
Character/3e/name,水桥帕露西,Mizuhashi Parsee,水橋　パルスィ
Character/3e/nicknames,桥姬,,
Character/3f/name,河城荷取,Kawasiro Nitori,河城　にとり
Character/3f/nicknames,河童,,
Character/40/name,清兰,Seiran,清蘭
Character/40/nicknames,,,
Character/41/name,火焰猫燐,Kaenbyou Rin,火焔猫　燐
Character/41/nicknames,"阿燐,猫车",,
Character/42/name,灵乌路空,Reiuji Utsuho,霊烏路　空
Character/42/nicknames,"阿空,高达,⑥",,
Character/43/name,爱塔妮缇拉尔瓦,Eternity Larva,エタニティラルバ
Character/43/nicknames,"大蛾子,爱塔,⑧",,
Character/44/name,爱莲,Ellen,エレン
Character/44/nicknames,"恋爱魔女,艾伦,蓬松头",,
Character/45/name,物部布都,Mononobe no Futo,物部　布都
Character/45/nicknames,布嘟嘟,,
Character/46/name,犬走椛,Inubashiri Momizi,犬走　椛
Character/46/nicknames,椛椛,,
Character/47/name,琪斯美,Kisume,キスメ
Character/47/nicknames,小桶,,
Character/48/name,琪露诺,Cirno,チルノ
Character/48/nicknames,"笨蛋,冰精,⑨,黑皮⑨,9",,
Character/49/name,矢田寺成美,Yatadera Narumi,矢田寺　成美
Character/49/nicknames,地藏,,
Character/4a/name,神绮,Shinki,神綺
Character/4a/nicknames,"太太,呆毛神,女儿怪",,
Character/4b/name,稀神探女,Kisin Sagume,稀神　サグメ
Character/4b/nicknames,,,
Character/4c/name,稗田阿求,Hieda no Akyuu,稗田　阿求
Character/4c/nicknames,,,
Character/4d/name,米斯蒂娅·萝蕾拉,Mystia Lorelei,ミスティア・ローレライ
Character/4d/nicknames,"老板娘,小碎骨,米斯琪",,
Character/4e/name,红美铃,Hoan Meirin / Hong Meirin,紅　美鈴
Character/4e/nicknames,"红师傅,门卫",,
Character/4f/name,绵月丰姬,Watatsuki no Toyohime,綿月　豊姫
Character/4f/nicknames,绵月姐妹,,
Character/50/name,绵月依姬,Watatsuki no Yorihime,綿月　依姫
Character/50/nicknames,绵月姐妹,,
Character/51/name,芙兰朵露·斯卡蕾特,Flandre Scarlet,フランドール・スカーレット
Character/51/nicknames,"二小姐,芙兰,二妹,破坏之神,吸血鬼姐妹",,
Character/52/name,苏我屠自古,Soga no Toziko,蘇我　屠自古
Character/52/nicknames,大根,,
Character/53/name,若鹭姬,Wakasagihime,わかさぎ姫
Character/53/nicknames,人鱼,,
Character/54/name,茨木华扇,Ibaraki Kasen,茨木　華扇
Character/54/nicknames,仙人,,
Character/55/name,莉格露·奈特巴格,Wriggle Nightbug,リグル・ナイトバグ
Character/55/nicknames,虫子,,
Character/56/name,萨拉,Sara,サラ
Character/56/nicknames,,,
Character/57/name,蓬莱山辉夜,Houraisan Kaguya,蓬莱山　輝夜
Character/57/nicknames,"NEET,竹取姬,公主大人",,
Character/58/name,蕾米莉亚·斯卡蕾特,Remilia Scarlet,レミリア・スカーレット
Character/58/nicknames,"大小姐,蕾咪,大妹,威严,抱头蹲防,吸血鬼姐妹",,
Character/59/name,藤原妹红,Huziwara no Mokou,藤原　妹紅
Character/59/nicknames,"爷们红,不死鸟,蘑菇炭,蘑菇汤",,
Character/5a/name,西行寺幽幽子,Saigyouji Yuyuko,西行寺　幽々子
Character/5a/nicknames,"UUZ,吃货子",,
Character/5b/name,豪德寺三花,Goutokuzi Mike,豪徳寺　ミケ
Character/5b/nicknames,大吉猫咪,,
Character/5c/name,赤蛮奇,Sekibanki,赤蛮奇
Character/5c/nicknames,⑦,,
Character/5d/name,铃仙·优昙华院·因幡,Reisen Udongein Inaba,鈴仙・優曇華院・イナバ
Character/5d/nicknames,"受兔,大兔子",,
Character/5e/name,铃瑚,Ringo,鈴瑚
Character/5e/nicknames,,,
Character/5f/name,键山雏,Kagiyama Hina,鍵山　雛
Character/5f/nicknames,"转转,不认识的孩子",,
Character/60/name,雾雨魔理沙,Kirisame Marisa,霧雨　魔理沙
Character/60/nicknames,"黑白,东洋魔女,黑白老鼠",,
Character/61/name,霍青娥,Kaku Seiga,霍　青娥
Character/61/nicknames,"青娥娘娘,娘娘",,
Character/62/name,露易兹,Louise,ルイズ
Character/62/nicknames,,,
Character/63/name,露米娅,Rumia,ルーミア
Character/63/nicknames,"⑩,10",,
Character/64/name,风见幽香,Kazami Yuka,風見　幽香
Character/64/nicknames,花妈,,
Character/65/name,饕餮尤魔,Toutetsu Yuma,饕餮　尤魔
Character/65/nicknames,大角羊,,
Character/66/name,高丽野阿吽,Komano Aunn,高麗野　あうん
Character/66/nicknames,石狮,,
Character/67/name,鬼人正邪,Kijin Seija,鬼人　正邪
Character/67/nicknames,邪正人鬼,,
Character/68/name,魂魄妖梦,Konpaku Youmu,魂魄　妖夢
Character/68/nicknames,"庭师,Yo梦",,
Character/69/name,魅魔,Mima,魅魔
Character/69/nicknames,,,
Character/6a/name,黑谷山女,Kurodani Yamame,黒谷　ヤマメ
Character/6a/nicknames,蜘蛛,,
